Date,Open,High,Low,Close,Volume
31-Mar-17,110.09,111.16,110.09,110.50,1271278
30-Mar-17,110.79,110.88,110.09,110.23,886243
29-Mar-17,111.76,112.00,111.10,111.28,812246
28-Mar-17,111.50,112.18,111.33,112.07,786911
27-Mar-17,112.23,113.15,111.25,111.60,769887
24-Mar-17,111.63,112.79,111.40,112.47,940106
23-Mar-17,112.03,113.08,111.19,111.58,976660
22-Mar-17,111.62,112.57,111.38,111.94,1104331
21-Mar-17,109.65,111.58,109.23,111.26,1002040
20-Mar-17,110.91,111.25,109.80,110.39,901533
17-Mar-17,110.44,111.51,110.40,110.76,1361369
16-Mar-17,111.56,111.56,109.67,110.16,791115
15-Mar-17,109.66,111.83,109.46,111.23,916592
14-Mar-17,109.26,109.86,108.85,109.16,524441
13-Mar-17,109.40,109.92,109.07,109.76,645915
10-Mar-17,108.91,109.54,108.34,109.40,812066
9-Mar-17,108.52,109.39,107.89,108.05,756160
8-Mar-17,109.29,109.76,108.26,108.44,859074
7-Mar-17,109.79,111.02,109.52,110.58,1122735
6-Mar-17,108.94,109.96,108.63,109.94,1033544
3-Mar-17,109.82,109.82,108.34,109.23,773174
2-Mar-17,109.28,110.28,108.96,109.75,1152404
1-Mar-17,109.86,110.65,108.73,109.65,1182576
28-Feb-17,109.11,110.95,108.67,110.29,2057898
27-Feb-17,109.09,109.10,108.33,108.81,879638
24-Feb-17,108.37,109.32,108.37,109.09,1082837
23-Feb-17,107.63,109.12,107.32,108.51,921028
22-Feb-17,106.63,107.57,106.21,107.15,637340
21-Feb-17,105.62,106.72,105.30,106.48,777646
17-Feb-17,105.91,106.14,104.88,105.85,893862
16-Feb-17,104.55,105.92,104.45,105.90,662117
15-Feb-17,103.34,104.37,103.19,104.32,690842
14-Feb-17,104.76,105.17,103.81,104.33,576716
13-Feb-17,104.39,105.22,104.29,105.16,538624
10-Feb-17,103.35,104.52,103.35,104.35,632195
9-Feb-17,104.28,104.64,103.50,103.65,751078
8-Feb-17,102.50,104.43,102.50,104.21,795768
7-Feb-17,102.65,102.96,102.09,102.55,533319
6-Feb-17,103.00,103.28,101.96,102.60,461901
3-Feb-17,102.97,103.23,102.64,102.79,571929
2-Feb-17,101.59,102.76,100.80,102.72,636966
1-Feb-17,101.59,102.22,100.79,101.42,681022
31-Jan-17,100.93,102.51,100.64,102.39,947568
30-Jan-17,101.78,101.78,99.71,100.82,1151642
27-Jan-17,102.58,102.58,101.12,101.44,576128
26-Jan-17,102.39,103.01,101.60,102.28,845607
25-Jan-17,102.65,102.69,101.59,102.57,1013414
24-Jan-17,102.10,102.89,101.87,102.67,1228929
23-Jan-17,102.62,103.48,101.98,102.20,1207715
20-Jan-17,102.22,102.95,101.60,102.44,789851
19-Jan-17,103.62,103.62,101.77,102.08,740200
18-Jan-17,103.50,104.25,103.41,103.78,1015435
17-Jan-17,101.99,103.48,101.68,103.40,772175
13-Jan-17,101.59,102.33,101.17,101.77,635987
12-Jan-17,102.14,102.90,101.28,101.84,806865
11-Jan-17,100.92,102.52,100.80,102.13,1469994
10-Jan-17,101.04,101.70,100.09,101.06,929748
9-Jan-17,102.93,103.63,101.28,101.38,1005383
6-Jan-17,101.45,103.16,101.21,102.92,934812
5-Jan-17,102.00,102.26,100.12,101.76,2008573
